 frequency              v(net6)                v(net6)               
 1.000000000000005e+07 -7.269691591647236e-02 -2.940360641681854e-03 
 1.258925411794173e+07 -6.905637775941317e-02  7.796811372715544e-03 
 1.584893192461121e+07 -6.365988198107268e-02  1.741566834023483e-02 
 1.995262314968889e+07 -5.637933296949262e-02  2.553619463539949e-02 
 2.511886431509592e+07 -4.740890799018672e-02  3.155982830856577e-02 
 3.162277660168395e+07 -3.739749840434761e-02  3.492653276534563e-02 
 3.981071705534992e+07 -2.734930611703589e-02  3.544818229537035e-02 
 5.011872336272748e+07 -1.828286135034332e-02  3.348040295399633e-02 
 6.309573444801965e+07 -1.087786268189993e-02  2.978674719123265e-02 
 7.943282347242856e+07 -5.350535171177073e-03  2.522466638560459e-02 
 1.000000000000005e+08 -1.563901092278497e-03  2.049521820133684e-02 
 1.258925411794174e+08  7.867478596689319e-04  1.606129112760067e-02 
 1.584893192461122e+08  2.040444018514861e-03  1.218300871686915e-02 
 1.995262314968891e+08  2.514576314774385e-03  8.981331393042151e-03 
 2.511886431509594e+08  2.491690178043488e-03  6.480240238337875e-03 
 3.162277660168397e+08  2.210003627586389e-03  4.627027238502414e-03 
 3.981071705534995e+08  1.846708710397076e-03  3.313242024776567e-03 
 5.011872336272751e+08  1.508419822434369e-03  2.406947482506819e-03 
 6.309573444801968e+08  1.240290880106722e-03  1.785026325794111e-03 
 7.943282347242861e+08  1.047715324037733e-03  1.351602348655650e-03 
 1.000000000000006e+09  9.177766372657205e-04  1.040885561623443e-03 
 1.258925411794175e+09  8.333410212118680e-04  8.112041077740665e-04 
 1.584893192461123e+09  7.795800976095568e-04  6.370368305849778e-04 
 1.995262314968892e+09  7.456682542227271e-04  5.025739060431039e-04 
 2.511886431509595e+09  7.243458706920285e-04  3.975738674697396e-04 
 3.162277660168399e+09  7.109443145051130e-04  3.150156595256916e-04 
 3.981071705534997e+09  7.025156783280492e-04  2.498380237062248e-04 
 5.011872336272755e+09  6.972101825499865e-04  1.982571620633888e-04 
 6.309573444801973e+09  6.938681434221520e-04  1.573767664998904e-04 
 7.943282347242867e+09  6.917617760187474e-04  1.249474457840805e-04 
 1.000000000000006e+10  6.904337036447697e-04  9.920680066837432e-05 
